,close,date,high,low,open,quoteVolume,volume,weightedAverage
7266,134.26548351,2018-06-12 00:00:00,137.875219,134.26548351,137.70516571,181.17939019,24730.94760927,136.4997839
7267,135.46770198,2018-06-12 04:00:00,136.34354252,134.00000001,134.53072398,554.74727338,75217.43314149,135.58864865
7268,134.51067299,2018-06-12 08:00:00,137.06805217,134.5,136.16559557,74.23252445,10079.70056057,135.78550149999998
7269,131.94915224,2018-06-12 12:00:00,135.03891185,130.71551912,134.52252198,334.06439714,43933.11381243,131.51091283
7270,119.67975442,2018-06-12 16:00:00,132.18468544,119.5,132.18468544,4052.68000155,499881.49793018,123.34590881
7271,125.10418031,2018-06-12 20:00:00,125.543075,120.23561090000001,120.23561090000001,858.75700375,106517.65975137,124.03702011
7272,125.02000001,2018-06-13 00:00:00,126.26245199,124.34682752,124.34682753,432.17041338,54013.26111059,124.98139492
7273,126.26139885,2018-06-13 04:00:00,126.26139885,123.77048683,124.82000002,91.75032367,11453.10187385,124.82900785
7274,119.36307605,2018-06-13 08:00:00,125.69862262,115.79999892,125.43612566,888.67981193,105785.78111395,119.03700263
7275,117.88140837,2018-06-13 12:00:00,120.44636499999999,117.88140837,120.09836373,203.81722319,24339.98023432,119.42062527
7276,113.776945,2018-06-13 16:00:00,120.42100173,113.7655673,118.2,2623.37815949,308831.11225942,117.72268178
7277,121.06799327,2018-06-13 20:00:00,123.0,112.71026278,113.95000051,408.60411697,48058.96982192,117.61743904
7278,128.95643144,2018-06-14 00:00:00,133.46454450000002,117.33695271,121.22260742,1162.05628221,147687.68953458,127.09168376
7279,125.96447746,2018-06-14 04:00:00,130.898,125.59394754,129.99427527,92.34083597,11747.99964082,127.22431541
7280,132.99415227,2018-06-14 08:00:00,134.4044,125.81312368,126.4,1378.19802495,183013.41200545,132.79181125
7281,122.76238652,2018-06-14 12:00:00,133.99707726,121.634997,133.99707725,1074.28393119,135484.70397139,126.11629015
7282,131.32091195,2018-06-14 16:00:00,133.33249979,122.33804314,122.33804314,1373.87833501,179011.19640471,130.29625101
7283,133.0,2018-06-14 20:00:00,133.0,128.09193057,130.36829856,444.98732339,58584.61358321,131.65456745
7284,130.1,2018-06-15 00:00:00,133.6566083,128.76612234,132.62526100000002,1001.10502704,131296.28603377,131.15136023
7285,126.92948044,2018-06-15 04:00:00,130.46434568,126.81204055,130.46434568,183.2751459,23464.749551400004,128.03017799
7286,124.14606687,2018-06-15 08:00:00,128.71452818,123.00000001,127.0,200.82895433,25385.1366591,126.40177679
7287,126.01159721,2018-06-15 12:00:00,126.01159721,123.45636499999999,124.14606687,1020.57780931,127885.17239182,125.30663632
7288,125.7831,2018-06-15 16:00:00,127.41678802,125.77009797,126.01159721,102.72628758,13003.65995159,126.58551435
7289,121.8,2018-06-15 20:00:00,132.48415269,121.79999982,126.41201568,311.75827816,39648.27383417,127.17633054
7290,122.3258388,2018-06-16 00:00:00,127.45107851,120.00000004,121.8,375.62380487,45697.00202281,121.65629928
7291,127.61296109,2018-06-16 04:00:00,127.61296109,122.28431807,123.32999964,37.86469205,4715.1009103999995,124.5250035
7292,126.19946079,2018-06-16 08:00:00,128.1204925,125.28139650000001,127.24120449,108.95918344,13867.71013216,127.2743581
7293,122.96958020000001,2018-06-16 12:00:00,126.59975189,122.96958020000001,126.59975189,39.91573991,4986.14485266,124.91675875
7294,126.7,2018-06-16 16:00:00,128.0,122.50000004,122.50000004,76.72056244,9696.93945146,126.39296614
7295,126.52698249999999,2018-06-16 20:00:00,127.99999999,126.50040451,127.1580023,32.02999248,4092.80633256,127.78043376
7296,124.73304308,2018-06-17 00:00:00,126.82662303,124.73304308,126.43689159,11.655904300000001,1460.92631175,125.33787805
7297,124.97215064,2018-06-17 04:00:00,126.0334278,124.97215064,125.41008885,2.5037566000000004,314.70881329,125.69465149999999
7298,124.09815569,2018-06-17 08:00:00,126.23078999,124.09815569,125.3411733,35.62914599,4453.76548223,125.00343071
7299,123.6542207,2018-06-17 12:00:00,124.56910911,122.88938896,124.56910911,41.3198645,5097.64125966,123.37023176
7300,125.1289,2018-06-17 16:00:00,125.13,123.19174807,123.1917493,13.30768481,1652.05063307,124.14260306
7301,123.2892545,2018-06-17 20:00:00,125.42763016,122.98179979,125.12984081,40.65552064,5077.677436399999,124.89515215
7302,122.91563696,2018-06-18 00:00:00,123.5975233,120.91205244,123.5975233,51.88296783,6327.27869007,121.95290583
